Hong Kong,22.3964,114.1095
Bangkok,13.7563,100.5018
London,51.5074,-0.1278
Singapore,1.3521,103.8198
Paris,48.8566,2.3522
Macau,22.1987,113.5439
Dubai,25.2048,55.2708
Istanbul,41.0082,28.9784
New York City,40.7127837,-74.0059413
Kuala Lumpur,3.139,101.6869
Shenzhen,22.5431,114.0579
Antalya,36.8969,30.7133
Rome,41.9028,12.4964
Taipei,25.033,121.5654
Seoul,37.5665,126.978
Phuket,7.9519,98.3381
Tokyo,35.6895,139.6917
Guangzhou,23.1291,113.2644
Miami,25.7617,-80.1918
Pattaya,12.9236,100.8825
Mecca,21.3891,39.8579
Prague,50.0755,14.4378
Milan,45.4642,9.19
Las Vegas,36.1699,-115.1398
Barcelona,41.3851,2.1734
Shanghai,31.2304,121.4737
Manama,26.2285,50.586
Delhi,28.7041,77.1025
Amsterdam,52.368,4.9036
Mumbai,19.076,72.8777
Vienna,48.2082,16.3738
Los Angeles,34.0522342,-118.2436849
Venice,45.4408,12.3155
Orlando,28.5383,-81.3792
Berlin,52.52,13.405
Florence,43.7696,11.2558
Johannesburg,-26.2041,28.0473
Ho Chi Minh City,10.8231,106.6297
Riyadh,24.7136,46.6753
Madrid,40.4168,-3.7038
Dublin,53.3498,-6.2603
Moscow,55.7558,37.6173
Chennai,13.0827,80.2707
Beijing,39.9042,116.4074
Agra,27.1767,78.0081
Johor Bahru,1.4927,103.7414
Athens,37.9838,23.7275
Denpasar,-8.6705,115.2126
Budapest,47.4979,19.0402
Canculn,21.1619,-86.8515
Chiang Mai,18.7061,98.9817
Jaipur,26.9124,75.7873
San Francisco,37.7749,-122.4194
Toronto,43.6532,-79.3832
Osaka,34.6937,135.5022
Hanoi,21.0278,105.8342
Munich,48.1351,11.582
Punta Cana,18.582,-68.4055
Sydney,-33.8688,151.2093
Brussels,50.8503,4.3517
Edirne,41.6771,26.5557
Mugla,37.1836,28.4864
Zhuhai,22.271,113.5767
Doha,25.2854,51.531
Siem Reap,13.355,103.8552
Lisbon,38.7223,-9.1393
Jerusalem,31.7683,35.2137
Cairo,30.0444,31.2357
Burgas,42.5048,27.4626
St Petersburg,59.9343,30.3351
Pulau Pinang,5.4164,100.3327
Halong,20.9101,107.1839
Warsaw,52.2297,21.0122
Heraklion,35.3387,25.1442
Krakow,50.0647,19.945
Lima,-12.0464,-77.0428
Honolulu,21.3069,-157.8583
Mexico City,19.4326,-99.1332
Tel Aviv,32.0853,34.7818
Jakarta,-6.1751,106.865
Marrakech,31.6295,-7.9811
Vancouver,49.2827,-123.1207
Buenos Aires,-34.6037,-58.3816
Melbourne,-37.8136,144.9631
Nice,43.7102,7.262
Frankfurt,50.1109,8.6821
Auckland,-36.8485,174.7633
Jerba,33.8076,10.8451
Kyoto,35.0116,135.768
Kolkatta,22.5726,88.3639
Samui,9.512,100.0136
Sofia,42.6977,23.3219
Krabi,8.0863,98.9063
Washington DC,38.9072,-77.0369
Varna,43.2141,27.9147
Sharm El Sheikh,27.9158,34.33
Taichung,24.1477,120.6736
Jeju,33.4996,126.5312
Marne-La-Vallele,48.8593,2.5985
Rhodes,36.2433,27.9718
